gate_type,delay_ps,tpHL_ps,tpLH_ps,power_mW,pdp,vdd,temp,cload,deck_file,output_file,static_input,static_state,switching_input,width_inv,width_n,width_n1,width_n2,width_n3,width_n4,width_p,width_p1,width_p2,width_p3,width_p4
inverter,39.4094,35.9292,39.4094,0.003174,0.125085,1.891,83.9,4.78,spice/generated/inverter_0082.cir,spice/outputs/inverter_0082_output.txt,,,,,0.837,,,,,1.509,,,,
inverter,64.9708,30.4213,64.9708,0.001143,0.074262,1.415,0.4,2.38,spice/generated/inverter_0083.cir,spice/outputs/inverter_0083_output.txt,,,,,1.775,,,,,1.213,,,,
inverter,109.6617,41.3664,109.6617,0.003808,0.417592,1.649,63.9,10.39,spice/generated/inverter_0084.cir,spice/outputs/inverter_0084_output.txt,,,,,1.545,,,,,0.792,,,,
inverter,233.9134,51.9009,233.9134,0.004365,1.021032,1.546,68.2,15.63,spice/generated/inverter_0085.cir,spice/outputs/inverter_0085_output.txt,,,,,1.626,,,,,0.508,,,,
inverter,152.4503,43.8897,152.4503,0.003032,0.462229,1.464,30.1,10.84,spice/generated/inverter_0086.cir,spice/outputs/inverter_0086_output.txt,,,,,1.937,,,,,0.764,,,,
inverter,120.4765,70.1982,120.4765,0.004326,0.521181,1.43,1.1,16.23,spice/generated/inverter_0087.cir,spice/outputs/inverter_0087_output.txt,,,,,1.185,,,,,1.773,,,,
inverter,89.3916,44.6335,89.3916,0.008,0.715133,1.801,123.0,17.94,spice/generated/inverter_0088.cir,spice/outputs/inverter_0088_output.txt,,,,,1.925,,,,,1.393,,,,
inverter,78.1993,37.4768,78.1993,0.005281,0.412971,1.768,78.7,11.41,spice/generated/inverter_0089.cir,spice/outputs/inverter_0089_output.txt,,,,,1.746,,,,,1.257,,,,
inverter,48.2302,35.791,48.2302,0.00381,0.183757,1.938,82.7,5.7,spice/generated/inverter_0090.cir,spice/outputs/inverter_0090_output.txt,,,,,0.889,,,,,1.212,,,,
inverter,54.8909,31.421,54.8909,0.003548,0.194753,1.783,86.4,6.22,spice/generated/inverter_0091.cir,spice/outputs/inverter_0091_output.txt,,,,,1.44,,,,,1.282,,,,
inverter,141.9028,62.6765,141.9028,0.002963,0.420458,1.446,7.1,11.26,spice/generated/inverter_0092.cir,spice/outputs/inverter_0092_output.txt,,,,,0.98,,,,,0.908,,,,
inverter,51.5409,29.0056,51.5409,0.001302,0.067106,1.483,-1.8,2.22,spice/generated/inverter_0093.cir,spice/outputs/inverter_0093_output.txt,,,,,1.56,,,,,1.541,,,,
inverter,78.6519,55.152,78.6519,0.003515,0.276461,1.645,49.5,8.98,spice/generated/inverter_0094.cir,spice/outputs/inverter_0094_output.txt,,,,,0.81,,,,,1.124,,,,
inverter,73.01,38.0093,73.01,0.008554,0.624528,1.943,56.4,15.55,spice/generated/inverter_0095.cir,spice/outputs/inverter_0095_output.txt,,,,,1.785,,,,,1.543,,,,
inverter,154.4293,48.5143,154.4293,0.005612,0.866657,1.628,-39.0,17.22,spice/generated/inverter_0096.cir,spice/outputs/inverter_0096_output.txt,,,,,1.63,,,,,1.028,,,,
inverter,61.6275,39.9301,61.6275,0.007491,0.461652,1.972,29.1,12.46,spice/generated/inverter_0097.cir,spice/outputs/inverter_0097_output.txt,,,,,1.319,,,,,1.621,,,,
inverter,84.1583,64.8734,84.1583,0.00251,0.211237,1.532,-3.8,7.39,spice/generated/inverter_0098.cir,spice/outputs/inverter_0098_output.txt,,,,,0.544,,,,,1.154,,,,
inverter,56.4196,24.8774,56.4196,0.002093,0.118086,1.807,26.7,3.42,spice/generated/inverter_0099.cir,spice/outputs/inverter_0099_output.txt,,,,,1.201,,,,,0.748,,,,
inverter,42.5912,17.5593,42.5912,0.001288,0.054857,1.773,-35.6,1.51,spice/generated/inverter_0100.cir,spice/outputs/inverter_0100_output.txt,,,,,1.347,,,,,1.091,,,,
inverter,70.0154,54.0929,70.0154,0.003921,0.27453,1.786,-17.6,8.2,spice/generated/inverter_0101.cir,spice/outputs/inverter_0101_output.txt,,,,,0.575,,,,,1.193,,,,
inverter,99.6891,66.0951,99.6891,0.004786,0.477112,1.527,13.9,15.29,spice/generated/inverter_0102.cir,spice/outputs/inverter_0102_output.txt,,,,,1.069,,,,,1.642,,,,
inverter,114.4386,62.026,114.4386,0.005029,0.575512,1.899,1.6,11.25,spice/generated/inverter_0103.cir,spice/outputs/inverter_0103_output.txt,,,,,0.529,,,,,0.623,,,,
inverter,68.9043,34.0633,68.9043,0.008001,0.551303,2.0,17.7,13.38,spice/generated/inverter_0104.cir,spice/outputs/inverter_0104_output.txt,,,,,1.672,,,,,1.475,,,,
inverter,48.2752,39.8835,48.2752,0.002376,0.114702,1.853,116.7,3.9,spice/generated/inverter_0105.cir,spice/outputs/inverter_0105_output.txt,,,,,0.531,,,,,0.799,,,,
inverter,107.2756,81.1933,107.2756,0.004054,0.434895,1.476,70.5,14.29,spice/generated/inverter_0106.cir,spice/outputs/inverter_0106_output.txt,,,,,0.827,,,,,1.346,,,,
inverter,43.6822,18.5377,43.6822,0.002485,0.10855,1.86,-12.3,3.18,spice/generated/inverter_0107.cir,spice/outputs/inverter_0107_output.txt,,,,,1.622,,,,,1.411,,,,
inverter,72.6854,51.3873,72.6854,0.003577,0.259996,1.892,119.2,6.93,spice/generated/inverter_0108.cir,spice/outputs/inverter_0108_output.txt,,,,,0.539,,,,,0.662,,,,
inverter,39.2698,18.7981,39.2698,0.001893,0.074338,1.806,118.1,2.44,spice/generated/inverter_0109.cir,spice/outputs/inverter_0109_output.txt,,,,,1.573,,,,,1.095,,,,
inverter,161.8319,44.6754,161.8319,0.00681,1.102075,1.814,63.5,17.16,spice/generated/inverter_0110.cir,spice/outputs/inverter_0110_output.txt,,,,,1.659,,,,,0.653,,,,
inverter,55.5077,30.8175,55.5077,0.004319,0.239738,1.76,-20.0,7.6,spice/generated/inverter_0111.cir,spice/outputs/inverter_0111_output.txt,,,,,1.674,,,,,1.976,,,,
inverter,116.9064,65.0104,116.9064,0.005949,0.695476,1.657,21.1,17.14,spice/generated/inverter_0112.cir,spice/outputs/inverter_0112_output.txt,,,,,1.012,,,,,1.259,,,,
inverter,73.6175,44.141,73.6175,0.00871,0.641208,1.893,-22.6,16.75,spice/generated/inverter_0113.cir,spice/outputs/inverter_0113_output.txt,,,,,1.453,,,,,1.941,,,,
inverter,50.4332,24.5291,50.4332,0.003962,0.199816,1.824,31.9,6.13,spice/generated/inverter_0114.cir,spice/outputs/inverter_0114_output.txt,,,,,1.948,,,,,1.601,,,,
inverter,86.9796,50.0988,86.9796,0.007178,0.62434,1.885,48.8,14.89,spice/generated/inverter_0115.cir,spice/outputs/inverter_0115_output.txt,,,,,1.153,,,,,1.225,,,,
inverter,107.4907,107.4907,90.8955,0.005723,0.615169,1.561,100.5,17.75,spice/generated/inverter_0116.cir,spice/outputs/inverter_0116_output.txt,,,,,0.63,,,,,1.746,,,,
inverter,40.8838,28.487,40.8838,0.000972,0.039739,1.546,36.7,1.55,spice/generated/inverter_0117.cir,spice/outputs/inverter_0117_output.txt,,,,,1.068,,,,,1.415,,,,
inverter,78.6628,25.4487,78.6628,0.004122,0.324248,1.911,-10.0,7.47,spice/generated/inverter_0118.cir,spice/outputs/inverter_0118_output.txt,,,,,1.697,,,,,0.818,,,,
inverter,118.4319,96.1681,118.4319,0.008533,1.010579,1.928,75.7,19.01,spice/generated/inverter_0119.cir,spice/outputs/inverter_0119_output.txt,,,,,0.515,,,,,0.914,,,,
inverter,120.2908,54.6553,120.2908,0.003922,0.471781,1.451,78.8,14.12,spice/generated/inverter_0120.cir,spice/outputs/inverter_0120_output.txt,,,,,1.637,,,,,1.233,,,,
inverter,45.262,45.262,44.6727,0.003121,0.141263,1.788,41.0,5.21,spice/generated/inverter_0121.cir,spice/outputs/inverter_0121_output.txt,,,,,0.64,,,,,1.689,,,,
inverter,73.1611,43.1227,73.1611,0.005425,0.396899,1.815,10.5,11.09,spice/generated/inverter_0122.cir,spice/outputs/inverter_0122_output.txt,,,,,1.21,,,,,1.372,,,,
inverter,67.8668,33.1658,67.8668,0.002801,0.190095,1.655,83.1,6.15,spice/generated/inverter_0123.cir,spice/outputs/inverter_0123_output.txt,,,,,1.554,,,,,0.996,,,,
inverter,139.6039,66.4492,139.6039,0.003307,0.46167,1.551,-20.1,11.18,spice/generated/inverter_0124.cir,spice/outputs/inverter_0124_output.txt,,,,,0.679,,,,,0.789,,,,
inverter,123.6831,46.6185,123.6831,0.006365,0.787243,1.857,-9.5,14.77,spice/generated/inverter_0125.cir,spice/outputs/inverter_0125_output.txt,,,,,1.226,,,,,0.825,,,,
inverter,49.4916,34.1744,49.4916,0.003197,0.158225,1.986,46.6,4.69,spice/generated/inverter_0126.cir,spice/outputs/inverter_0126_output.txt,,,,,0.651,,,,,0.924,,,,
inverter,136.5198,39.4181,136.5198,0.001986,0.271128,1.536,-10.4,6.21,spice/generated/inverter_0127.cir,spice/outputs/inverter_0127_output.txt,,,,,1.301,,,,,0.521,,,,
inverter,74.145,71.49,74.145,0.009457,0.701189,1.985,51.3,17.5,spice/generated/inverter_0128.cir,spice/outputs/inverter_0128_output.txt,,,,,0.689,,,,,1.546,,,,
inverter,65.4901,45.9997,65.4901,0.004224,0.27663,1.695,104.0,9.37,spice/generated/inverter_0129.cir,spice/outputs/inverter_0129_output.txt,,,,,1.204,,,,,1.361,,,,
inverter,109.974,63.6364,109.974,0.005046,0.554929,1.511,-31.5,16.62,spice/generated/inverter_0130.cir,spice/outputs/inverter_0130_output.txt,,,,,1.217,,,,,1.912,,,,
inverter,52.3629,43.0145,52.3629,0.002039,0.106768,1.64,-27.8,3.83,spice/generated/inverter_0131.cir,spice/outputs/inverter_0131_output.txt,,,,,0.58,,,,,1.444,,,,
inverter,74.1609,74.1609,73.7125,0.006705,0.497249,1.738,10.1,15.52,spice/generated/inverter_0132.cir,spice/outputs/inverter_0132_output.txt,,,,,0.678,,,,,1.991,,,,
inverter,87.9047,41.4873,87.9047,0.004186,0.367969,1.764,90.5,9.56,spice/generated/inverter_0133.cir,spice/outputs/inverter_0133_output.txt,,,,,1.284,,,,,0.839,,,,
inverter,63.169,61.9836,63.169,0.005481,0.346229,1.666,101.9,12.8,spice/generated/inverter_0134.cir,spice/outputs/inverter_0134_output.txt,,,,,0.958,,,,,1.985,,,,
inverter,41.2885,41.2885,39.6742,0.002983,0.123164,1.766,82.1,5.01,spice/generated/inverter_0135.cir,spice/outputs/inverter_0135_output.txt,,,,,0.812,,,,,1.921,,,,
inverter,36.7556,20.5223,36.7556,0.000762,0.028008,1.796,-14.1,1.05,spice/generated/inverter_0136.cir,spice/outputs/inverter_0136_output.txt,,,,,0.613,,,,,0.761,,,,
inverter,117.1603,67.3991,117.1603,0.005046,0.591191,1.67,58.0,14.43,spice/generated/inverter_0137.cir,spice/outputs/inverter_0137_output.txt,,,,,0.847,,,,,0.937,,,,
inverter,82.2704,39.7984,82.2704,0.007513,0.618098,1.822,34.9,15.97,spice/generated/inverter_0138.cir,spice/outputs/inverter_0138_output.txt,,,,,1.886,,,,,1.531,,,,
inverter,59.2496,48.6871,59.2496,0.005742,0.340211,1.775,69.1,11.35,spice/generated/inverter_0139.cir,spice/outputs/inverter_0139_output.txt,,,,,1.138,,,,,1.901,,,,
